Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar
125.634,6.13,157,0.85,3.67,0.98,2103.823661028789,3275.3263877051945,707.6952941176471,2.0737634892193935
163.082,6.22,314,0.87,2.2,0.46,3859.888263479621,3231.153972832737,647.5080459770115,4.951275340843341
100.832,6.1,161,0.8,3.83,0.81,1315.560872940023,3285.316954888546,725.54,2.134288787209898
136.987,5.49,364,0.97,3.48,0.97,1065.737763387807,2990.5767722765618,677.1884536082474,6.0557419090522915
144.118,5.27,314,1.02,2.53,1.09,716.0634321492262,2801.6064404029044,633.0027450980392,4.951275340843341
114.192,6.7,197,1.37,3.43,0.56,2763.368911720024,2823.6644243122582,627.1283211678832,2.7120214103846285
145.645,6.23,244,1.32,2.88,0.63,3106.8181654070777,3225.0333208891375,610.6521212121212,3.5491214734739582
94.131,6.75,361,1.09,3.67,0.6,1942.2188597697098,2787.867965644036,666.2489908256881,5.9872000000000005
125.462,5.52,213,1.27,3.29,0.49,944.8100091460631,3018.8371558587937,631.0042519685039,2.986906126093223
77.153,6.96,271,1.35,2.38,1.19,1490.333073104822,2702.3655896056566,588.9585185185185,4.068978430867858
106.286,6.59,372,0.93,2.57,0.85,2215.3833816489696,2916.302668188231,649.7030107526881,6.239900932943007
166.135,5.6,186,0.97,3.03,0.79,1899.8839855881401,3092.705098312484,660.0884536082474,2.5293614365114956
67.394,6.7,295,1.07,2.66,1.17,962.5204728789842,2823.6644243122582,630.6127102803739,4.55343311280697
91.557,6.52,222,0.76,2.01,0.51,1560.8383105038151,2981.1628441412063,666.9063157894736,3.146180402013438
143.333,5.59,210,1.34,2.08,0.83,1391.2187678601056,3083.6973318117684,578.4429850746269,2.9345512933598257
169.455,5.54,170,0.71,3.52,0.61,1786.067379380741,3037.5999700692914,739.1121126760563,2.27322305421512
151.218,6.64,285,1.05,2.25,0.59,4647.912856394837,2872.2662125304787,617.8809523809524,4.3490830076785825
125.011,6.99,293,1.14,3.85,0.69,3983.470773504209,2700.1480318902804,666.6508771929824,4.512281704965393
150.551,5.95,385,1.13,2.08,0.49,2500.7041159690757,3296.3065021785415,600.6329203539824,6.543396396067364
163.884,6.58,206,0.98,2.21,1.1,5228.8591244937525,2925.3930338505434,627.2453061224489,2.865324975558327
110.901,6.52,213,0.89,2.97,0.85,2290.0540503354387,2981.1628441412063,672.6352808988764,2.986906126093223
151.116,5.7,171,1.38,3.58,0.61,1831.9937530758175,3176.335575687742,631.9820289855072,2.2888921264290927
164.414,5.91,298,0.64,2.57,1.15,2848.2971181479843,3288.088105703083,727.66,4.615422077989085
77.701,6.19,397,0.84,3.49,1.02,852.2368012566661,3248.1241722823684,703.0961904761905,6.828135169226397
94.066,6.85,191,1.26,2.3,0.88,2069.822960490749,2732.6980427434896,594.384126984127,2.6117380140538264
152.702,5.54,187,0.66,2.27,0.95,1450.369016072024,3037.5999700692914,708.6842424242424,2.545749231944131
159.11,6.98,124,1.05,2.24,0.66,6414.698083192591,2700.5919814715185,617.5009523809524,1.6046444495854764
106.612,5.93,240,1.25,2.98,0.6,1225.75023483213,3292.775028581624,621.24,3.474451209887296
92.612,6.23,330,0.64,2.92,0.47,1256.2011951214713,3225.0333208891375,740.96,5.295798160890427
171.436,5.23,316,1.15,2.73,1.09,902.6115150124625,2774.9666791108625,622.8704347826088,4.993871097394762
107.819,6.53,210,1.16,3.18,0.76,2180.913096416008,2971.7675060044453,638.7710344827586,2.9345512933598257
