Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
17.261,5.6,193,0.87,3.03,0.53,20.508633096778492,3092.705098312484,679.0480459770115,2.64499335197105,True
11.994,6.7,140,0.65,3.24,0.82,30.48565970936288,2823.6644243122582,749.2738461538461,1.8252018714143141,True
13.283,6.52,186,1.24,3.89,0.67,32.85240390345541,2981.1628441412063,656.852258064516,2.5293614365114956,True
11.29,6.45,141,1.28,3.13,0.68,22.485618536086868,3046.930339512069,623.94,1.8394257874178772,True
16.465,6.64,163,0.81,3.47,0.82,55.10290145900897,2872.2662125304787,709.3908641975308,2.164835751658403,True
15.067,6.99,231,1.1,3.32,0.78,57.86537250031403,2700.1480318902804,651.6145454545454,3.3087168315798587,True
16.429,5.95,240,0.78,3.45,0.66,29.779491592649862,3296.3065021785415,716.2282051282051,3.474451209887296,True
11.493,6.6,126,0.62,2.82,0.48,26.09209177300641,2907.2949016875164,745.2245161290323,1.63147719376044,True
17.14,6.58,158,1.06,3.88,0.54,57.194657747501026,2925.3930338505434,678.3833962264151,2.0888233633730344,True
14.315,6.52,164,0.72,3.94,0.69,38.15553197973629,2981.1628441412063,751.9422222222222,2.1801797999023798,True
16.46,5.7,124,0.61,2.9,0.56,21.735155487721503,3176.335575687742,752.4950819672131,1.6046444495854764,True
17.169,5.91,136,0.68,3.94,0.79,31.05973178122446,3288.088105703083,765.0141176470588,1.7688151323183374,True
12.544,6.19,223,0.85,2.62,0.59,22.2115649420154,3248.1241722823684,667.795294117647,3.1640801189153454,True
10.88,6.95,170,1.14,3.37,0.46,29.45883825806915,2703.6934978214585,648.4108771929825,2.27322305421512,True
13.417,6.85,193,1.31,2.29,0.75,42.109364405095555,2732.6980427434896,589.1574045801526,2.64499335197105,True
16.886,6.98,202,0.86,3.79,0.89,72.24949883313059,2700.5919814715185,710.066511627907,2.7967675372139866,True
14.086,5.93,189,0.8,2.68,0.74,21.39760528625629,3292.775028581624,681.84,2.5786563352319694,True
13.339,6.23,169,0.66,2.9,0.86,26.05980857023345,3225.0333208891375,732.6242424242424,2.2576,True
14.15,6.53,186,0.96,2.19,0.84,37.563032077052874,2971.7675060044453,629.8866666666668,2.5293614365114956,True
15.624,6.22,193,0.78,3.61,0.8,35.428040755170336,3231.153972832737,722.3082051282051,2.64499335197105,True
17.774,6.7,121,1.38,2.46,0.48,66.94803896858046,2823.6644243122582,589.4220289855073,1.5648,True
17.7,6.2,172,1.25,3.51,0.5,44.637596948893254,3242.705098312484,641.38,2.3046070818879105,True
12.014,6.92,182,0.63,3.46,0.67,35.26953239216934,2709.4250516614106,765.448253968254,2.464251389206585,True
13.978,6.34,171,0.85,2.28,0.69,31.510466785060018,3144.526102230515,654.8752941176471,2.2888921264290927,True
17.266,5.86,157,1.22,3.01,0.49,29.58481959495002,3271.448115739806,625.5275409836065,2.0737634892193935,True
13.916,6.35,190,1.1,2.55,0.83,31.49545415433695,3136.1971499218644,622.3545454545454,2.595175410317714,True
17.885,6.19,136,1.06,3.49,0.61,45.15282805480959,3248.1241722823684,663.5633962264151,1.7688151323183374,True
15.058,6.26,230,1.05,2.36,0.52,34.117808363169765,3205.364131778607,622.0609523809524,3.290498163410971,True
15.068,6.09,111,0.91,3.92,0.77,29.0847726797828,3288.088105703083,704.7841758241759,1.4355660532533232,True
16.682,6.23,238,0.85,3.01,0.72,40.758755000925106,3225.0333208891375,682.6152941176471,3.4373481373511043,True
12.566,6.72,151,1.16,3.81,0.66,33.92138182570349,2808.7728030753933,662.7110344827586,1.9844152518752967,True
11.492,6.51,226,0.88,2.76,0.83,24.404729902349747,2990.5767722765618,666.6981818181819,3.218019985209822,True
10.133,6.76,200,1.19,2.11,0.48,22.656707891052488,2781.309411773577,594.6337815126051,2.762741699796952,True
11.812,6.98,238,0.65,2.29,0.47,35.35315241773283,2700.5919814715185,713.1738461538462,3.4373481373511043,True
15.161,6.33,188,1.34,2.01,0.71,36.75719674532447,3152.7124247251113,575.7829850746268,2.562180903800634,True
11.395,6.36,157,1.31,3.25,0.83,21.295040199182306,3127.7337874695213,625.6374045801526,2.0737634892193935,True
13.094,6.21,149,0.99,3.91,0.41,24.655700560468873,3237.0465037127074,690.1961616161616,1.9550214293954575,True
17.494,5.97,221,1.25,2.88,0.89,34.53088363790433,3298.668589380924,617.44,3.1283209545259116,True
10.908,6.78,198,0.98,3.69,0.55,26.603748479784304,2768.8460271672634,683.485306122449,2.728885569068094,True
17.398,6.1,169,1.19,3.25,0.89,39.16632635404019,3285.316954888546,637.953781512605,2.2576,True
17.019,5.83,248,0.62,2.55,0.51,27.691360659751858,3258.222608101183,734.9645161290323,3.624406324407887,True
15.28,6.43,125,1.05,2.36,0.52,40.53950313605105,3065.442972418963,622.0609523809524,1.618033988749895,True
16.538,6.41,228,1.27,2.09,0.6,46.73340677154166,3083.697331811769,585.4042519685039,3.2541796019867695,True
14.442,6.23,213,1.14,3.59,0.84,30.54775911934227,3225.0333208891375,656.7708771929824,2.986906126093223,True
14.237,6.02,164,1.3,3.13,0.41,24.14863444305515,3299.4080185284815,622.016923076923,2.1801797999023798,True
17.203,6.88,225,1.1,3.69,0.41,70.54699858641582,2721.0670542335247,665.6745454545455,3.2,True
15.065,6.18,136,1.3,2.56,0.61,31.737222143227626,3253.298377650605,600.3569230769231,1.7688151323183374,True
15.808,6.61,144,0.69,3.71,0.58,49.71916532238677,2898.3786239264123,752.8640579710145,1.8824,True
16.239,6.36,126,1.15,2.51,0.69,43.24823307009387,3127.7337874695213,614.5104347826087,1.63147719376044,True
10.673,6.59,235,1.29,3.8,0.45,22.33931162803436,2916.302668188231,648.431007751938,3.381985426750108,True
17.188,6.53,195,0.68,3.53,0.64,55.424074712435086,2971.7675060044453,749.4341176470588,2.678421446827955,True
10.812,6.8,113,0.82,3.88,0.87,26.48127526922854,2757.294901687516,722.5619512195123,1.4609651814712121,True
15.308,6.16,161,1.19,3.31,0.43,32.15328243122095,3262.892004013159,640.233781512605,2.134288787209898,True
14.39,6.23,126,1.23,2.68,0.4,30.32817405910216,3225.0333208891375,611.9213008130082,1.63147719376044,True
15.535,6.02,167,0.83,3.13,0.47,28.75266619398556,3299.4080185284815,691.7110843373493,2.2264924905715633,True
15.216,6.98,226,0.83,2.54,0.64,58.665431344134056,2700.5919814715185,669.2910843373494,3.218019985209822,True
11.794,6.97,147,1.29,3.67,0.42,35.03545227741077,2701.331410619076,643.491007751938,1.9258242247906998,True
15.697,6.27,166,1.09,3.2,0.76,37.405346235617806,3198.393559597096,648.3889908256881,2.2110083109090968,True
15.972,6.36,108,1.15,3.16,0.74,41.83775845493707,3127.7337874695213,639.2104347826088,1.397895138643706,True
16.794,5.66,194,1.12,2.07,0.69,21.32770434261377,3144.526102230515,601.5171428571427,2.6616858606189755,True
12.122,6.57,200,0.78,2.72,0.81,28.398907487764966,2934.557027581037,688.4882051282051,2.762741699796952,True
17.784,5.67,141,1.14,3.15,0.58,24.278494629995226,3152.7124247251113,640.0508771929824,1.8394257874178772,True
17.136,6.1,105,0.77,3.84,0.65,37.99558122017948,3285.316954888546,733.7122077922078,1.3607438643406065,True
